"id","sumLL","BIC","mean_lik","fit_duration","valid_trials","problem_fit","fit_method","bins","alpha_ml","alpha_wm","alpha_var","nu_ml","nu_wm","nu_var","xi_ml","xi_wm","xi_var","sensitivity","response_criterion","sdtTable.11","sdtTable.10","sdtTable.01","sdtTable.00","hit_rate","fa_rate","var.signal","var.noise","condition","R.GPTS.reference","R.GPTS.persecution","spiritual.events","difficulty_halfway","difficulty_end","volatilityJudgment","noticeDifference","religiosity_general","religiosity_lens","religiosity_practice"
"597519f8262c480001bbaf8b",-74.9598748057696,161.533352644263,0.707058526058665,8.08649897575378,48,TRUE,"grid","30,30,30",0.005,0.19163647505025,0.999716971282537,0.001,0.00396616258444953,0.736528465009793,0.00718713678608101,0.224778151436871,0.999917809367884,1.62703094050817,0.91814892586816,11,1,13,23,0.458333333333333,0.0416666666666667,1,1,"volatile",3,1,0,92,75,"firstBlockIsVolatile","""I felt the blue circle was easier to follow.""",2,0,1
"5a4cc0ecac413f0001e60aa3",-75.0259436631307,161.665490358985,0.706907591423449,7.77991795539856,48,TRUE,"grid","30,30,30",0.005,0.216140209914029,0.999738871475385,0.001,0.00392006985175801,0.73484449287198,0.005,0.25409874311873,0.999922277548702,1.38299412710064,0.691497063550319,12,2,12,22,0.5,0.0833333333333333,1,1,"stable",2,2,0,67,68,"didNotNotice","""I thought that the black circles moved slightly slower with the blue circle. but otherwise nothing.""",0,0,0
"5a4cc0ecac413f0001e60aa3",-44.2964054399102,100.206413912544,0.830789099763257,7.29238796234131,48,TRUE,"grid","30,30,30",0.005,0.220474203316506,0.999719086425374,0.001,0.00409481047845663,0.742301905620063,0.0302357706030074,0.261052681743281,0.999925983287369,2.28018667882034,0.591571056712073,17,1,7,23,0.708333333333333,0.0416666666666667,1,1,"volatile",2,2,0,67,68,"didNotNotice","""I thought that the black circles moved slightly slower with the blue circle. but otherwise nothing.""",0,0,0
"5a7226d9f660ae0001a9a547",-82.502649320839,176.618901674402,0.68597465799246,7.1729371547699,48,TRUE,"grid","30,30,30",0.005,0.214220031947805,0.999697642940573,0.001,0.0040533185586665,0.74052638949842,0.0103210631167208,0.266954228037601,0.999933899334311,1.02264619574784,0.300894703625994,14,5,10,19,0.583333333333333,0.208333333333333,1,1,"stable",4,2,0.0454545454545455,64,73,"didNotNotice","""I did not notice any difference in either parts """,0,0,0
"5a7226d9f660ae0001a9a547",-100.113142473431,211.839887979586,0.623874231879784,7.43998599052429,48,TRUE,"grid","30,30,30",0.005,0.240171179340134,0.99971724961869,0.001,0.00404693654189688,0.740354499715237,0.00718713678608101,0.291750894097512,0.999933659361076,0.653155738312173,0.221944413542011,13,7,11,17,0.541666666666667,0.291666666666667,1,1,"volatile",4,2,0.0454545454545455,64,73,"didNotNotice","""I did not notice any difference in either parts """,0,0,0
"5a8f01d95292b80001235d34",-77.0097960866102,165.633195205944,0.706643630751491,7.49820804595947,48,TRUE,"grid","30,30,30",0.005,0.204533535070378,0.999508416245249,0.001,0.00404683793922598,0.740187025803155,0.005,0.279678777737053,0.999932440431367,1.10521704949154,-0.121881225450312,18,8,6,16,0.75,0.333333333333333,1,1,"stable",3,0,0.0909090909090909,57,74,"didNotNotice","""I think in the second the circle movements were more erratic. It felt like they were faster.""",0,0,0
"5a8f01d95292b80001235d34",-106.275313894784,224.164230822291,0.603341543370178,7.54043006896973,48,TRUE,"grid","30,30,30",0.0302357706030074,0.276303830289633,0.999759997582053,0.001,0.00406058607598232,0.741972359049824,0.0302357706030074,0.323722034439632,0.999932192240849,0.569856294582006,-0.389561602905078,18,13,6,11,0.75,0.541666666666667,1,1,"volatile",3,0,0.0909090909090909,57,74,"didNotNotice","""I think in the second the circle movements were more erratic. It felt like they were faster.""",0,0,0
"5aff33bae55f90000139f664",-115.493710575107,242.601024182938,0.542532586705871,7.60538101196289,48,TRUE,"grid","30,30,30",0.005,0.178297379173935,0.999746723467163,0.001,0.00389616410006361,0.734913062478352,0.005,0.199703625831194,0.999897821103603,0.415572560998937,1.17520784660117,4,2,20,22,0.166666666666667,0.0833333333333333,1,1,"stable",0,0,0,96,99,"didNotNotice","""No, I did not. I felt as though 99% of the time either I didn't spot the chasers or I  was about to when the time ran out.""",0,0,4
"5aff33bae55f90000139f664",-92.8700611702947,197.353725373313,0.645090388013291,7.22155499458313,48,TRUE,"grid","30,30,30",0.005,0.242126516195051,0.999765465498266,0.001,0.00404543254118501,0.740257155081058,0.0429848376676476,0.262895421029721,0.999913133747527,0.939920986128083,0.680388887311966,10,3,14,21,0.416666666666667,0.125,1,1,"volatile",0,0,0,96,99,"didNotNotice","""No, I did not. I felt as though 99% of the time either I didn't spot the chasers or I  was about to when the time ran out.""",0,0,4
"5b70d5cf48302c0001ba0771",-60.1853912743912,131.984385581506,0.768668980820838,7.05356001853943,48,TRUE,"grid","30,30,30",0.005,0.228650132762108,0.999722207720096,0.001,0.00399707360608768,0.738200019653092,0.005,0.276935299139602,0.999931046363657,1.70163349106501,0.532177381568132,15,2,9,22,0.625,0.0833333333333333,1,1,"stable",3,0,0.545454545454545,87,90,"secondBlockIsVolatile","""I thought the blue circle moved slightly quicker than the green circle""",2,1,1
"5b70d5cf48302c0001ba0771",-88.8638778733319,189.341358779387,0.665343128250722,7.18125510215759,48,TRUE,"grid","30,30,30",0.005,0.246544209778893,0.999747316963307,0.001,0.00404536605019349,0.740315970879617,0.0302357706030074,0.282316909409609,0.999923429469409,0.967421566101701,0.483710783050851,12,4,12,20,0.5,0.166666666666667,1,1,"volatile",3,0,0.545454545454545,87,90,"secondBlockIsVolatile","""I thought the blue circle moved slightly quicker than the green circle""",2,1,1
"5b985404a15058000124e508",-117.258178039435,246.129959111594,0.542162691211533,7.19921112060547,48,TRUE,"grid","30,30,30",0.005,0.172689858612159,0.999694989296149,0.001,0.00391198604909508,0.734779612838997,0.005,0.208988774591948,0.999917623655818,0.338131578876095,0.98128359093796,5,3,19,21,0.208333333333333,0.125,1,1,"stable",4,0,0.0909090909090909,89,92,"didNotNotice","""No I didn't if I'm completely honest.""",0,0,0
"5b985404a15058000124e508",-118.643739869194,248.901082771111,0.52200855442805,6.99829196929932,48,TRUE,"grid","30,30,30",0.005,0.133728594984269,0.999592365468141,0.001,0.00378241090546866,0.729558953051458,0.005,0.171200668448435,0.999906035298511,0.348670269021606,1.55732926161144,2,1,22,23,0.0833333333333333,0.0416666666666667,1,1,"volatile",4,0,0.0909090909090909,89,92,"didNotNotice","""No I didn't if I'm completely honest.""",0,0,0
"5bfe0d18e373c90001b57c71",-116.095464505893,243.804532044509,0.56206080733491,6.98352193832397,48,TRUE,"grid","30,30,30",0.005,0.250203354965581,0.999737314463108,0.001,0.00404086758155143,0.740466426889337,0.0148011545095324,0.297532638133818,0.999930840186968,0.338093888450173,0.379475338473011,10,7,14,17,0.416666666666667,0.291666666666667,1,1,"stable",5,1,0.227272727272727,69,80,"secondBlockIsVolatile","""I was late pressing the space bar at least 3 times in the second part of the experiment - so it must have taken me fractionally more time to decide what I thought was happening, as I wasn't late in the first part.""",2,1,2
"5bfe0d18e373c90001b57c71",-83.5807759209601,178.775154874644,0.685857027253291,6.91262292861938,48,TRUE,"grid","30,30,30",0.005,0.250754525597586,0.999736215715361,0.001,0.00404553528143027,0.740075517915935,0.0148011545095324,0.296408471334076,0.999930891821065,0.993129114160457,0.177925193115853,15,6,9,18,0.625,0.25,1,1,"volatile",5,1,0.227272727272727,69,80,"secondBlockIsVolatile","""I was late pressing the space bar at least 3 times in the second part of the experiment - so it must have taken me fractionally more time to decide what I thought was happening, as I wasn't late in the first part.""",2,1,2
"5c81582c4c1a61000155584f",-131.992330612258,275.598264257239,0.500008362999572,7.15170812606812,48,TRUE,"grid","30,30,30",0.005,0.242676969719268,0.999742540702266,0.001,0.0039916849541937,0.737837506172522,0.005,0.287257572938328,0.999929014616961,0,0.430727299295457,8,8,16,16,0.333333333333333,0.333333333333333,1,1,"stable",0,0,0.0454545454545455,88,92,"didNotNotice","""i didn't notice any difference""",0,0,0
"5c81582c4c1a61000155584f",-100.982743185345,213.579089403413,0.603901124159725,6.92705106735229,48,TRUE,"grid","30,30,30",0.005,0.20597426140374,0.999760666372537,0.001,0.00389195722298573,0.733399358532763,0.005,0.224636668016086,0.999905218149815,0.834471844402541,0.965758204899368,7,2,17,22,0.291666666666667,0.0833333333333333,1,1,"volatile",0,0,0.0454545454545455,88,92,"didNotNotice","""i didn't notice any difference""",0,0,0
"5cb20f2d7c917b00172dfef5",-75.9097367173895,163.433076467503,0.706772143941195,7.06043791770935,48,TRUE,"grid","30,30,30",0.005,0.223050171996482,0.999729902244697,0.001,0.00397041664059935,0.73705734379364,0.005,0.267170012533196,0.99992794047163,1.25498283599008,0.522857962380966,13,3,11,21,0.541666666666667,0.125,1,1,"stable",1,0,0,91,100,"secondBlockIsVolatile","""The second section was far more difficult""",3,1,3
"5cb20f2d7c917b00172dfef5",-107.862835175062,227.339273382848,0.583013306514899,6.97193288803101,48,TRUE,"grid","30,30,30",0.005,0.19994939837005,0.999723176529482,0.001,0.00393737358313976,0.734985308895531,0.005,0.233572131339175,0.999919242737281,0.536694266806244,0.699074432698579,8,4,16,20,0.333333333333333,0.166666666666667,1,1,"volatile",1,0,0,91,100,"secondBlockIsVolatile","""The second section was far more difficult""",3,1,3
"5cbcadbe0b073500018c5f73",-96.7301463273196,205.073895687363,0.624520718279454,7.01532888412476,48,TRUE,"grid","30,30,30",0.005,0.224814292631838,0.99975724259644,0.001,0.00396289163938301,0.736908825987014,0.0148011545095324,0.253828653850082,0.999916368373084,0.952266827805181,0.906860713198048,8,2,16,22,0.333333333333333,0.0833333333333333,1,1,"stable",5,0,0.0454545454545455,82,50,"secondBlockIsVolatile","""No I didn't notice anything different.""",1,0,0
"5cbcadbe0b073500018c5f73",-59.6840214368064,130.981645906336,0.7687996209518,6.97552490234375,48,TRUE,"grid","30,30,30",0.005,0.21135884578866,0.999721925890806,0.001,0.00400680572286117,0.738085771222559,0.0103210631167208,0.250080936835531,0.99992424667689,1.94209279037017,0.76061800093716,14,1,10,23,0.583333333333333,0.0416666666666667,1,1,"volatile",5,0,0.0454545454545455,82,50,"secondBlockIsVolatile","""No I didn't notice anything different.""",1,0,0
"5d2f85f28e588a0019164d77",-123.382784240928,258.379171514581,0.501747299690812,7.04914593696594,48,TRUE,"grid","30,30,30",0.005,0.105325784745663,0.999283768739582,0.001,0.00386001169021345,0.733437876464792,0.005,0.164083541305056,0.999923547355037,0,1.73166439612225,1,1,23,23,0.0416666666666667,0.0416666666666667,1,1,"stable",0,0,0.272727272727273,60,81,"secondBlockIsVolatile","""Seemed to be more obvious that the circle was not being followed which in a sense made it harder as you were looking more """,3,1,3
"5d2f85f28e588a0019164d77",-112.09254788173,235.798698796184,0.542933376543234,7.23612689971924,48,TRUE,"grid","30,30,30",0.005,0.132210211275222,0.99964083847434,0.001,0.00380511372498855,0.73087899749464,0.005,0.15769815404797,0.999883892959339,0.65384000460075,1.70991412940101,2,0,22,24,0.0833333333333333,0.0208333333333333,1,1,"volatile",0,0,0.272727272727273,60,81,"secondBlockIsVolatile","""Seemed to be more obvious that the circle was not being followed which in a sense made it harder as you were looking more """,3,1,3
"5deed93eb235fc5888f1fcd5",-67.0246286268647,145.662860286453,0.747785733881355,7.75014591217041,48,TRUE,"grid","30,30,30",0.005,0.262082478380852,0.999750193766296,0.001,0.00400167276940989,0.738816431399793,0.005,0.310938614972927,0.99993361379524,1.36074008419801,-0.131847759400907,19,7,5,17,0.791666666666667,0.291666666666667,1,1,"stable",0,3,0,85,85,"didNotNotice","""I think the blue circle is slightly faster""",0,0,0
"5deed93eb235fc5888f1fcd5",-90.4188896948868,192.451382422497,0.66526588549623,7.84692692756653,48,TRUE,"grid","30,30,30",0.162091247675962,0.265510869834844,0.999735303567433,0.001,0.00411185638295848,0.744033352288122,0.0429848376676476,0.315408160728261,0.999932771398366,0.861454598590915,5.55111512312578e-17,16,8,8,16,0.666666666666667,0.333333333333333,1,1,"volatile",0,3,0,85,85,"didNotNotice","""I think the blue circle is slightly faster""",0,0,0
"5defac7e56b506000cdd3b32",-53.6528801243032,118.91936328133,0.78944444038085,7.8713002204895,48,TRUE,"grid","30,30,30",0.005,0.217328959926811,0.999717848282252,0.001,0.00396287213536255,0.736731925724038,0.005,0.265028962897603,0.999930356149521,2.05030376008662,0.706512516078935,15,1,9,23,0.625,0.0416666666666667,1,1,"stable",12,6,0.136363636363636,88,91,"didNotNotice","""i did not notice a difference """,1,0,0
"5defac7e56b506000cdd3b32",-97.9288463962399,207.471295825203,0.624340058882132,7.52427887916565,48,TRUE,"grid","30,30,30",0.005,0.219782645878015,0.999726571506557,0.001,0.00396662352964589,0.736754963583067,0.005,0.260535361850717,0.999925969309664,0.756993171853777,0.588924980174813,10,4,14,20,0.416666666666667,0.166666666666667,1,1,"volatile",12,6,0.136363636363636,88,91,"didNotNotice","""i did not notice a difference """,1,0,0
"5e4d40e2d3132c1907e80312",-134.609520225831,280.832643484385,0.479992849629132,7.62622499465942,48,TRUE,"grid","30,30,30",0.005,0.207295382438707,0.999743267318602,0.001,0.00390054917961497,0.733925090329726,0.005,0.237855406243214,0.999915165642678,-0.155203764601789,0.889819683800807,4,5,20,19,0.166666666666667,0.208333333333333,1,1,"stable",1,2,0.545454545454545,92,91,"didNotNotice","""I thought the blue circle would be easier than the green, but I actually found it more difficult.  I'm not sure if it was just that my concentration struggled a bit as the study went on, or whether it was the change of colour""",3,1,4
"5e4d40e2d3132c1907e80312",-129.6736674127,270.960937858123,0.50043739234615,7.4510350227356,48,TRUE,"grid","30,30,30",0.005,0.206692707735994,0.999720434010912,0.001,0.00393042346839524,0.735081798720301,0.005,0.247410271792172,0.999924834144602,0,0.674489750196082,6,6,18,18,0.25,0.25,1,1,"volatile",1,2,0.545454545454545,92,91,"didNotNotice","""I thought the blue circle would be easier than the green, but I actually found it more difficult.  I'm not sure if it was just that my concentration struggled a bit as the study went on, or whether it was the change of colour""",3,1,4
"5eab170759f5390b776df5a1",-111.163733795378,233.941070623479,0.582640293547808,7.54652094841003,48,TRUE,"grid","30,30,30",0.005,0.270558072169875,0.999756282725599,0.001,0.00405405744994185,0.740802903440094,0.0302357706030074,0.314534765904106,0.999931193377431,0.42327281957845,0.10700295417515,13,9,11,15,0.541666666666667,0.375,1,1,"stable",0,0,0,96,88,"secondBlockIsVolatile","""The only pattern I recognised was that in the second one, the one following was slightly further away making it a little easier to see.""",0,0,0
"5eab170759f5390b776df5a1",-94.4041512265782,200.42190548588,0.644602255568149,7.5281138420105,48,TRUE,"grid","30,30,30",0.005,0.245820218463211,0.999736700759449,0.001,0.00405318648500998,0.740812596933968,0.0148011545095324,0.292736601739895,0.999930022038665,0.758950676946023,-0.169046944225087,17,10,7,14,0.708333333333333,0.416666666666667,1,1,"volatile",0,0,0,96,88,"secondBlockIsVolatile","""The only pattern I recognised was that in the second one, the one following was slightly further away making it a little easier to see.""",0,0,0
"5ebc0abd2cc5f1054c82a0d7",-86.6820902432991,184.977783519322,0.665545362582041,7.08525395393372,48,TRUE,"grid","30,30,30",0.005,0.215568682289563,0.999724401222146,0.001,0.00398282480518262,0.737181529456476,0.005,0.258661892528837,0.999926533739628,1.04571592476193,0.627491417995042,11,3,13,21,0.458333333333333,0.125,1,1,"stable",5,5,0.272727272727273,75,88,"secondBlockIsVolatile","""i could follow the blue better but thats all""",1,0,2
